July,49.99
July,49.99
August,49.98
August,49.98
July,49.98
July,49.97
July,49.97
July,49.97
June,49.97
May,49.97
May,49.97
June,49.94
June,49.92
June,49.92
June,49.92
June,49.92
June,49.92
June,49.92
May,49.92
July,49.91
May,49.91
June,49.9
May,49.9
August,49.89
May,49.89
July,49.88
July,49.87
August,49.86
July,49.86
July,49.86
May,49.86
August,49.85
August,49.85
August,49.84
July,49.84
June,49.84
June,49.84
August,49.83
July,49.83
August,49.82
August,49.82
August,49.82
August,49.81
August,49.8
July,49.8
July,49.8
May,49.79
July,49.78
August,49.77
July,49.77
July,49.77
July,49.77
July,49.77
July,49.77
June,49.77
May,49.77
May,49.76
May,49.74
May,49.74
May,49.74
August,49.73
August,49.72
August,49.72
August,49.72
May,49.72
May,49.72
August,49.71
July,49.71
August,49.69
May,49.69
July,49.68
August,49.67
July,49.67
May,49.67
May,49.67
July,49.66
July,49.65
June,49.65
July,49.63
June,49.63
May,49.63
June,49.62
August,49.61
July,49.61
August,49.6
July,49.6
July,49.6
June,49.6
May,49.59
May,49.59
August,49.58
May,49.58
June,49.57
June,49.57
August,49.56
July,49.56
June,49.56
June,49.56
May,49.56
August,49.54
August,49.54
July,49.54
August,49.53
June,49.52
June,49.52
May,49.52
June,49.51
June,49.5
June,49.5
June,49.5
June,49.5
May,49.5
August,49.48
May,49.48
August,49.46
June,49.46
July,49.45
August,49.44
August,49.44
July,49.44
May,49.44
August,49.43
August,49.43
August,49.43
July,49.43
June,49.43
June,49.43
June,49.41
May,49.41
August,49.4
June,49.4
June,49.4
June,49.38
June,49.38
August,49.36
August,49.36
August,49.36
August,49.35
June,49.34
May,49.33
May,49.33
August,49.32
June,49.32
June,49.32
May,49.32
June,49.31
August,49.3
August,49.3
August,49.29
August,49.29
July,49.29
July,49.29
July,49.29
July,49.29
July,49.29
May,49.29
August,49.28
June,49.28
May,49.28
May,49.27
May,49.27
August,49.26
June,49.26
June,49.26
May,49.26
August,49.25
July,49.25
August,49.24
August,49.23
August,49.23
May,49.23
May,49.23
July,49.21
May,49.21
August,49.19
July,49.19
August,49.18
June,49.18
May,49.17
May,49.17
July,49.14
May,49.13
August,49.11
August,49.11
June,49.11
June,49.11
June,49.11
July,49.1
July,49.09
June,49.09
June,49.09
May,49.09
May,49.09
August,49.07
June,49.06
June,49.06
May,49.06
August,49.05
August,49.05
July,49.05
July,49.05
July,49.05
May,49.05
August,49.04
June,49.04
June,49.04
June,49.04
July,49.01
June,49.01
May,49.0
June,48.99
May,48.99
May,48.99
May,48.98
June,48.96
June,48.96
June,48.96
June,48.96
August,48.95
August,48.95
August,48.94
July,48.94
July,48.94
June,48.94
July,48.93
August,48.89
August,48.89
July,48.88
July,48.88
June,48.86
May,48.86
July,48.85
July,48.84
July,48.84
May,48.84
May,48.84
July,48.83
July,48.83
July,48.83
July,48.83
August,48.82
July,48.82
July,48.82
June,48.82
May,48.82
May,48.82
May,48.82
June,48.81
June,48.81
June,48.81
June,48.81
May,48.81
May,48.81
June,48.79
May,48.79
June,48.78
May,48.78
May,48.78
August,48.77
June,48.77
May,48.77
May,48.75
May,48.75
July,48.74
June,48.74
June,48.73
May,48.73
July,48.72
July,48.72
June,48.72
June,48.72
June,48.72
July,48.71
June,48.71
June,48.71
August,48.7
July,48.7
July,48.7
May,48.7
May,48.69
May,48.69
June,48.68
June,48.66
July,48.65
May,48.65
August,48.64
May,48.63
August,48.62
June,48.62
May,48.62
May,48.62
May,48.62
July,48.61
May,48.6
July,48.59
July,48.59
June,48.59
August,48.58
June,48.58
July,48.57
July,48.57
July,48.57
June,48.57
June,48.57
May,48.57
May,48.57
May,48.54
June,48.53
July,48.52
June,48.52
May,48.52
June,48.51
May,48.5
May,48.5
July,48.49
June,48.47
June,48.47
May,48.45
August,48.44
May,48.44
June,48.43
August,48.42
June,48.42
June,48.42
July,48.41
June,48.41
July,48.4
August,48.39
May,48.39
July,48.38
July,48.38
July,48.36
July,48.35
July,48.35
June,48.35
June,48.35
June,48.35
June,48.35
May,48.35
June,48.34
August,48.33
August,48.33
June,48.33
June,48.33
May,48.33
May,48.33
August,48.32
July,48.31
May,48.31
May,48.29
August,48.28
August,48.28
June,48.28
August,48.27
July,48.27
July,48.27
June,48.27
July,48.26
June,48.26
August,48.25
June,48.25
August,48.24
August,48.24
August,48.24
May,48.24
June,48.23
July,48.22
July,48.21
May,48.21
July,48.2
July,48.2
May,48.19
August,48.18
June,48.17
July,48.16
August,48.15
July,48.15
May,48.14
June,48.12
June,48.12
May,48.12
July,48.11
May,48.1
July,48.09
July,48.09
July,48.09
July,48.09
June,48.09
June,48.08
June,48.08
June,48.08
May,48.08
August,48.07
July,48.07
June,48.06
July,48.05
June,48.05
July,48.04
June,48.04
July,48.02
May,48.01
June,47.98
June,47.97
June,47.96
June,47.96
June,47.96
June,47.95
August,47.93
July,47.93
August,47.92
August,47.9
July,47.9
June,47.9
July,47.89
June,47.88
June,47.88
May,47.88
May,47.87
May,47.86
August,47.85
July,47.85
May,47.85
May,47.85
June,47.84
May,47.84
May,47.84
August,47.83
August,47.82
June,47.82
August,47.81
August,47.81
June,47.81
June,47.8
August,47.79
August,47.79
June,47.79
June,47.79
August,47.77
July,47.75
August,47.74
May,47.74
August,47.72
July,47.72
July,47.72
May,47.72
May,47.72
May,47.72
August,47.71
August,47.71
July,47.71
July,47.71
August,47.69
August,47.69
July,47.69
July,47.69
July,47.69
August,47.68
May,47.67
August,47.66
August,47.66
July,47.66
May,47.66
June,47.65
June,47.65
May,47.65
July,47.64
July,47.63
July,47.63
May,47.63
May,47.63
May,47.62
August,47.61
July,47.61
May,47.61
May,47.6
July,47.59
May,47.56
May,47.56
July,47.55
June,47.55
May,47.55
August,47.54
August,47.53
May,47.53
August,47.52
August,47.51
August,47.51
May,47.51
July,47.5
July,47.5
May,47.49
July,47.47
June,47.47
June,47.47
August,47.45
August,47.44
June,47.44
May,47.43
August,47.42
May,47.42
June,47.41
May,47.41
June,47.39
June,47.37
June,47.37
June,47.37
June,47.37
June,47.37
May,47.37
May,47.37
June,47.36
May,47.36
July,47.35
May,47.34
July,47.33
July,47.33
July,47.33
July,47.33
May,47.33
May,47.32
August,47.31
August,47.31
July,47.31
June,47.31
May,47.3
May,47.3
July,47.29
July,47.29
July,47.29
May,47.29
May,47.28
May,47.28
June,47.27
May,47.27
May,47.27
June,47.26
July,47.25
July,47.25
July,47.25
May,47.25
July,47.24
June,47.24
June,47.24
July,47.23
July,47.23
July,47.23
July,47.23
June,47.23
June,47.23
May,47.23
August,47.22
June,47.21
May,47.21
July,47.2
July,47.2
June,47.2
May,47.2
May,47.2
August,47.19
May,47.19
July,47.18
July,47.18
July,47.18
July,47.18
July,47.17
July,47.17
May,47.17
August,47.16
August,47.16
August,47.16
August,47.15
August,47.15
August,47.15
May,47.15
August,47.14
May,47.13
July,47.12
August,47.11
August,47.11
June,47.11
June,47.11
July,47.1
July,47.09
July,47.08
May,47.07
August,47.05
August,47.05
May,47.04
July,47.02
July,47.02
August,47.0
July,47.0
August,46.99
August,46.98
May,46.98
June,46.97
June,46.97
June,46.97
May,46.97
August,46.95
July,46.95
August,46.94
July,46.94
July,46.94
May,46.93
May,46.93
August,46.91
July,46.91
July,46.91
July,46.9
July,46.9
August,46.89
August,46.89
July,46.89
June,46.88
July,46.86
May,46.86
August,46.85
July,46.85
July,46.85
June,46.85
August,46.84
July,46.84
May,46.84
May,46.84
May,46.84
May,46.84
May,46.84
August,46.83
July,46.83
May,46.83
August,46.82
August,46.82
August,46.82
August,46.82
July,46.81
May,46.8
August,46.78
June,46.78
August,46.77
August,46.73
July,46.73
May,46.73
May,46.73
July,46.72
May,46.72
June,46.71
May,46.71
May,46.69
July,46.68
May,46.67
July,46.66
July,46.66
July,46.66
June,46.66
June,46.66
May,46.65
August,46.64
August,46.64
May,46.64
July,46.62
July,46.61
June,46.61
May,46.61
May,46.61
July,46.6
July,46.6
July,46.59
July,46.59
August,46.58
August,46.58
August,46.58
August,46.58
July,46.57
July,46.57
May,46.57
August,46.56
August,46.56
May,46.55
August,46.54
August,46.54
June,46.54
